11799 - Aagaard, Mikkel
1003 - Holtby, Braden
1780 - Holtet, Marius
2909 - Holub, Jan
10911 - Holwell, Adam
11484 - Holý, Jan
4457 - Holzapfel, Riley
2352 - Holzer, Korbinian
2417 - Holzmann, Thomas
6000 - Honejsek, Antonin
11099 - Honka, Julius
8359 - Honzik, David
7835 - Hooey, Garrett
7834 - Hope, Brandon
11993 - Hopkins, Haydn
11463 - Hora, Daniel
11192 - Hora, Frank
11461 - Horak, Lukas
9528 - Horak, Oldrich
11592 - Horansky, Stanislav
380 - Horcoff, Shawn
3447 - Hördler, Frank
9896 - Hore, Tyler
4448 - Hornqvist, Patric
382 - Horton, Nathan
9038 - Horvat, Bo
9012 - Horvat, Ryan
9970 - Ho-Sang, Josh
3448 - Hospelt, Kai
383 - Hossa, Marcel
384 - Hossa, Marian
1612 - Hostikka, Ville
12417 - Hotakainen, Valtteri
11994 - Hotchkiss, Matthew
8956 - Houck, Jackson
7294 - Houdek, Tomas
12481 - Hould, Samuel
6456 - Houser, Michael
1703 - Hovinen, Niko
2701 - Hovorka, Marek
1193 - Howard, Jimmy
10787 - Howden, Brett
5994 - Howden, Quinton
12510 - Howe, Joe
12643 - Høygård, Stian
9139 - Hoyles, Aaron
4953 - Hrabal, Josef
7889 - Hrabarenka, Raman
10429 - Hrachovina, Dominik
12794 - Hrazdíra, David
7548 - Hrbas, Marek
2723 - Hrebejk, Stepan
6937 - Hrivik, Marek
2948 - Hrna, Erik
7300 - Hrubec, Simon
4644 - Hruska, David
11452 - Hruska, Jan
3453 - Hryshko, Georges
2771 - Hubacek, Petr
7076 - Huberdeau, Jonathan
2714 - Hübl, Viktor
9600 - Hudacek, Julius
12723 - Hudacek, Libor
386 - Hudler, Jiri
7895 - Hudon, Charles
387 - Huet, Cristobal
11995 - Huether, Kenny
9959 - Huether, Ray
6452 - Hughes, Tommy
9798 - Hughson, Garret
11596 - Hügli, Michael
8714 - Huguenin, Anthony
11282 - Huhtanen, Miika
1592 - Huhtanen, Tuomas
6135 - Hulak, Derek
1506 - Hult, Andreé
8118 - Huml, Ivan
10616 - Hunt, Brad
8915 - Hunt, Dryden
12472 - Hunter, Samuel
12462 - Huntington, Jimmy
2237 - Hunwick, Matt
12406 - Huovinen, Joonas
7354 - Hurri, Joonas
1374 - Huskins, Kent
10400 - Husso, Ville
3463 - Hutchinson, Jamie
6457 - Hutchinson, Michael
8435 - Hutton, Carter
11390 - Huxley, Chris
8695 - Huzevka, Peter
8655 - Hyka, Tomas
11996 - Hylland, Tyler
3469 - Hytönen, Juha-Pekka
2610 - Hyvärinen, Toni
7819 - Iafrate, Max
11998 - Ibragimov, Marsel
3473 - Idirshev, Bulat
398 - Iginla, Jarome
10364 - Iglesias, Frédéric
12667 - Ihnacak, Brian
3474 - Iijima, Takuya
9442 - Ikonen, Henri
2611 - Ikonen, Jasse
9468 - Ikonen, Juuso
12788 - Illéš, Jakub
10332 - Ilomäki, Arttu
9985 - Imama, Bokondji
1235 - Immonen, Jarkko
3476 - Immonen, Jarkko
11366 - Incir, Patrick
11489 - Indrak, Miroslav
11999 - Ingram, Connor
4839 - Irgl, Zbynek
3479 - Irizawa, Tamihiro
1964 - Irmen, Danny
9680 - Irving, Aaron
7196 - Irwin, Brayden
31642 - Irwin, Brian
8436 - Irwin, Matt
3480 - Ishihara, Takeshi
12610 - Ivarsson, Johan
9745 - Iverson, Keegan
12698 - Jääskeläinen, Joona
5440 - Jaatinen, Antti
9451 - Jaatinen, Antti
401 - Jackman, Barret
31653 - Jackman, Jordan
403 - Jackman, Tim
5862 - Jackson, Dallas
6164 - Jacobs, Colin
3486 - Jacobsen, Henrik
5542 - Jacquemet, Arnaud
12612 - Jadeland, Nicklas
1794 - Jaffray, Jason
404 - Jagr, Jaromir
8785 - Jakaitis, Jeff
9608 - Jakobs, Jens
626 - Jakobsen, Julian
1707 - Jalvanti, Joonas
1238 - James, Connor
10842 - James, Cordell
12000 - James, Maxwell
10886 - Jamieson, Aiden
3493 - Jämtin, Andreas
11662 - Janacek, Martin
4489 - Janes, Grant
3495 - Janicki, Marek
406 - Janik, Doug
3496 - Janikin, Selibek
11532 - Jank, Bohumil
9380 - Janmark, Mattias
2998 - Jansky, Peter
1150 - Janssen, Cam
4692 - Janus, Jaroslav
7374 - Jarnkrok, Calle
11663 - Jaromersky, Jan
12718 - Jaros, Christian
12002 - Jarratt, Ralph
8814 - Jarry, Tristan
11684 - Jarusek, Richard
10334 - Järveläinen, Ville
2596 - Järvenpää, Juha
2586 - Järvinen, Jan-Mikael
2631 - Jarvinen, Joonas
9453 - Järvinen, Kristian
7427 - Järvinen, Matti
2617 - Jarvinen, Mika
11777 - Jasek, Lukas
8679 - Jaskin, Dmitrij
8121 - Jaspers, Jason
1730 - Jasu, Juhani
5515 - Jeannin, Sandy
12003 - Jeannot, Tanner
11593 - Jecker, Benoit
5342 - Jeffrey, Dustin
5943 - Jelinek, Petr
11594 - Jelovac, Igor
5411 - Jenike, Andreas
7781 - Jenkins, Billy
10827 - Jenkins, Kyle
6610 - Jenks, A.J.
6518 - Jenner, Boone
3504 - Jenni, Marcel
31695 - Jennings, Timothy
3506 - Jensen, Esben
12658 - Jensen, Glenn
8759 - Jensen, Jesper
9617 - Jensen, Jesper
10704 - Jensen, Kade
11209 - Jensen, Nick
7792 - Jensen, Nicklas
8867 - Jensen, Spenser
11453 - Jenys, Pavel
7304 - Jerabek, Jakub
11670 - Jergl, Ales
12489 - Jevne, Ryan
9997 - Jevpalovs, Nikita
5736 - Jobin, David
5859 - Jobke, Colton
825 - Joggi, Mathias
12656 - Johannesen, Johannes
3512 - Johansen, Kristoffer
12004 - Johansen, Lucas
6018 - Johansen, Ryan
9614 - Johansson, Alexander
12438 - Johansson, Emil
11630 - Johansson, Jacob
11658 - Johansson, Jonas
2556 - Johansson, Lars
3516 - Johansson, Magnus
75 - Johansson, Marcus
1456 - Johansson, Martin
11646 - Johansson, Mikael
7401 - Johansson, Stefan
12341 - Johns, Stephen
410 - Johnson, Aaron
10663 - Johnson, Andreas
9119 - Johnson, Ben
991 - Johnson, Chad
5232 - Johnson, Chaz
31708 - Johnson, Cody
12005 - Johnson, Cole
10649 - Johnson, Erik
12006 - Johnson, Evan
1417 - Johnson, Jack
8778 - Johnson, Justin
5367 - Johnson, Nick
8676 - Johnson, Nick
10649 - Johnson, Stephen
6179 - Johnson, Tyler
9770 - Johnson, Wyatt
9574 - Johnston, Andrew
10822 - Johnston, Brendan
10785 - Johnston, Garrett
13039 - Johnston, Ross
3522 - Jokela, Mikko
3524 - Jokinen, Jussi
418 - Jokinen, Olli
2612 - Jokinen, Tommi
7453 - Jokipakka, Jyrki
10084 - Joly, Michael
1349 - Jones, Blair
10652 - Jones, David
12007 - Jones, Johnny
5369 - Jones, Martin
9923 - Jones, Mitch
12357 - Jones, Nick
419 - Jones, Randy
4449 - Jones, Ryan
9746 - Jones, Seth
8967 - Jones, Zane
12465 - Jones-Gagné, Nicolas
10455 - Jönsson, Johannes
10602 - Jooris, Josh
6624 - Jordan, Michal
5721 - Jörg, Mauro
5650 - Josefson, Jacob
8627 - Josefsson, Erik
8503 - Joseph, Mathieu
5737 - Josi, Roman
2296 - Joslin, Derek
2153 - Joudrey, Andrew
3536 - Jowyk, Roman
12654 - Juell, Rasmus
12690 - Jukuri, Samuel
1713 - Julkunen, Olli
535 - Jung, Sven
1479 - Junland, Jonas
1554 - Junnila, Jyri
7346 - Junttila, Julius
9522 - Jurcik, Ondrej
1130 - Jurcina, Milan
7089 - Jurco, Tomas
10757 - Juulsen, Noah
4553 - Juutilainen, Jan-Mikael
11224 - Juutinen, Janne
9594 - Juvonen, Janne
6934 - Kabanov, Kirill
425 - Kaberle, Tomas
3543 - Kaboursalay, Sylvain
11529 - Kacetl, Ondrej
4632 - Kadlec, Petr
6444 - Kadri, Nazem
5946 - Kafka, Petr
10404 - Kähkönen, Kaapo
1669 - Kähkönen, Toni
10244 - Kahle, Marcel
3544 - Kahnberg, Magnus
9963 - Kahun, Dominik
1606 - Kaijomaa, Kalle
11378 - Kaisler, Hagen
9477 - Kajínek, David
2600 - Kaksonen, Elmeri
2025 - Kaleta, Patrick
3547 - Kalinka, Nick
3548 - Kallio, Tomi
1693 - Kalteva, Mikko
5578 - Kamber, Oliver
5481 - Kamerzin, Jérémie
11103 - Kammerer, Maximilian
11556 - Kämpf, David
8416 - Kampfer, Steven
11754 - Kana, Jan
8693 - Kana, Jan
12338 - Kane, Cory
364 - Kane, Evander
2086 - Kane, Patrick
9596 - Kangasmäki, Aki
7358 - Kangasniemi, Antti
3551 - Kankaanperä, Markus
7454 - Kantola, Kai
6631 - Kantor, Michael
9501 - Kantor, Pavel
8968 - Kanzig, Keegan
10666 - Kapanen, Kasperi
3556 - Kapitanov, Sergey
11091 - Karabacek, Vaclav
3558 - Karalahti, Jere
3559 - Karczewski, Jerzy
5441 - Karhunen, Tomi
10410 - Karjalainen, Antti
11246 - Karjalainen, Jere
10440 - Kärki, Jarno
11326 - Karlsson, Anton
12504 - Karlsson, Anton
89 - Karlsson, Erik
12621 - Karlsson, Filip
11328 - Karlsson, Ludwig
3567 - Karlsson, Mattias
609 - Karlsson, Melker
1436 - Karlsson, Sebastian
9927 - Karlsson, Simon
9603 - Karlsson, William
12008 - Karnaukhov, Pavel
12609 - Karrer, Roger
1915 - Karsums, Martins
11108 - Karterud, Jorgen
11723 - Karvinen, Otto
12632 - Kase, David
11553 - Kase, Ondrej
12009 - Kashtanov, Ivan
9529 - Kasik, Libor
12010 - Kaspick, Tanner
6725 - Kassian, Zack
5539 - Kast, Timothy
12737 - Kastner, Maximilian
3570 - Kaszuba, Dariusz
12012 - Katerinakis, Alexander
3572 - Kato, Hideki
10551 - Kattelus, Eric
5392 - Kaufmann, Evan
8485 - Kaunisto, Ray
3576 - Kauppinen, Marko
12013 - Kaura, Rocky
11768 - Kaut, Tomas
7830 - Kea, Justin
12014 - Kealey, Alexander
1893 - Kearns, Bracken
3579 - Kebich, Oleg
11388 - Keenan, Mike
2541 - Kehler, Cole
31803 - Keith, Adam
1116 - Keith, Duncan
3581 - Kelembet, Gustavo
3582 - Kell, Matt
5557 - Kellenberger, Steve
2000 - Keller, Ryan
12597 - Kellman, Joel
437 - Kelly, Chris
6428 - Kelly, Dan
11710 - Kemiläinen, Valtteri
10679 - Kempe, Adrian
1598 - Kemppainen, Joonas
8716 - Kenins, Ronalds
10819 - Kennedy, Bradley
12015 - Kennedy, Brandon
11421 - Kennedy, Patrick
1939 - Kennedy, Tyler
12772 - Kepka, Jirí
2587 - Kerälä, Antti
1567 - Keränen, Janne
5444 - Keränen, Juho
7336 - Keranen, Michael
12330 - Kerdiles, Nic
10940 - Kerr, Aaron
12427 - Keskitalo, Miro
439 - Kesler, Ryan
9250 - Kessel, Blake
1309 - Kessel, Phil
5975 - Kessy, Kale
7207 - Kettemer, Florian
10746 - Khaira, Jujhar
12016 - Khaira, Sahvan
7856 - Khokhlachev, Alexander
5220 - Khudobin, Anton
6194 - Kichton, Brenden
10030 - Kielly, Kameron
4876 - Kienzle, Lorenz
3587 - Kiilholma, Juha
1649 - Kiiskinen, Tuomas
12449 - Kilgour, Jack
10209 - Killorn, Alex
1602 - Kilpeläinen, Eero
10451 - Kilström, Lukas
3590 - Kinasz, Tom
2131 - Kindl, Jakub
11368 - Kindschi, Simon
7181 - King, Dwight
11182 - King, Jeff
12017 - King, Jordan
5969 - King, Tristan
8932 - King, Tyler
3592 - Kink, Marcus
8766 - Kinkaid, Keith
11266 - Kinnunen, Saku
10651 - Kirichenko, Clayton
10725 - Kirkland, Justin
12019 - Kirwan, Luke
12644 - Kissel, Dan
8469 - Kitsyn, Maxim
10570 - Kitt, Brett
9593 - Kiviaho, Henri
4565 - Kivimäki, Samuli
11247 - Kiviranta, Joel
2562 - Klasen, Linus
6146 - Klassen, Sam
11004 - Klebanskyj, Matthew
9398 - Klefbom, Oscar
1242 - Klein, Kevin
10692 - Klein, Patrick
449 - Klesla, Rostislav
12021 - Klima, Kelly
12022 - Klima, Kevin
8916 - Klimchuk, Morgan
2774 - Klimek, Lukas
2924 - Klimenta, Tomas
505 - Klingberg, Carl
9611 - Klingberg, John
4476 - Klinkhammer, Rob
11778 - Klok, Lukas
5450 - Klubertanz, Kyle
12372 - Kment, Jake
5632 - Knackstedt, Jordan
10207 - Knapp, Connor
10603 - Knight, Corban
3601 - Knight, Gary
6447 - Knight, Jared
11671 - Knotek, Jan
6891 - Knotek, Tomas
10931 - Knott, Graham
8892 - Knutsen, Jonas
12430 - Knutti, Luca
452 - Kobasew, Chuck
3604 - Kobayashi, Haruo
11431 - Koblasa, Petr
12023 - Koch, Davis
3605 - Koch, Thomas
2912 - Koci, Vaclav
10687 - Kodola, Vladislav
7813 - Koekkoek, Slater
12024 - Koep, Andrew
2313 - Kohl, Benedikt
2775 - Köhler, Bedrich
10715 - Kohlhauser, Jake
11161 - Kohn, Mason
3610 - Koho, Ville
12813 - Kohout, Martin
3611 - Koistinen, Ville
11248 - Koivisto, Henrik
9444 - Koivisto, Juha
10707 - Koivisto, Miika
12626 - Koivisto, Mika
3614 - Koivisto, Toni
1136 - Koivu, Mikko
11464 - Kokes, Martin
1687 - Kokkala, Lassi
9386 - Kokman, Viktor
2812 - Kolar, Jan
5329 - Kolarik, Chad
3618 - Kolehmainen, Janne
10798 - Kolesar, Keegan
1205 - Kolesnik, Vitaly
12749 - Köllejan, Felix
9525 - Kolouch, Petr
456 - Koltsov, Konstantin
2801 - Koma, Jaroslav
3620 - Komachi, Jun
1718 - Komarov, Leo
7438 - Komulainen, Joonas
5981 - Konan, Matt
10861 - Konecny, Travis
3621 - Konichev, Sagadat
12766 - Konrád, Branislav
1586 - Konttinen, Tero
9747 - Kopeck, Presten
1244 - Kopecky, Tomas
3624 - Kopitar, Anze
5449 - Koponen, Marlo
3627 - Köppchen, Patrick
2019 - Kopriva, Miroslav
1828 - Koreis, Jakub
1624 - Korhonen, Ville
11470 - Korim, Karol
8595 - Körkkö, Tomi
10633 - Korostelev, Nikita
3633 - Korpikoski, Lauri
12454 - Kosack, Austin
11657 - Koski, Eetu
1664 - Koskiranta, Tero
10234 - Koslowski, John
7748 - Kosmachuk, Scott
9513 - Kostalek, Jan
1166 - Kostitsyn, Andrei
10729 - Kostitsyn, Sergei
5306 - Kostka, Michael
7480 - Kostner, Diego
465 - Kostopoulos, Tom
12758 - Kotala, Jakub
3641 - Kotlyar, Nikolay
3642 - Kotschnew, Dimitrij
11526 - Kotvan, Oldrich
9725 - Koules, Miles
1708 - Kousa, Mikko
2797 - Koutský, Vladislav
9497 - Kovacik, Jozef
467 - Kovalchuk, Ilya
11517 - Kovar, Lukas
12785 - Kovarcik, Michal
12795 - Kovarík, Lubomír
12376 - Koziol, Lukas
9697 - Kozun, Taran
3647 - Kozybaev, Vladmir
5477 - Kparghai, Clarence
2844 - Kracik, Jaroslav
472 - Krajicek, Lukas
12763 - Kral, Tadeas
11504 - Kral, Tomas
8632 - Kramer, Darren
8533 - Krämmer, Nico
2565 - Kratena, Ondrej
3649 - Kravchenko, Ivan
9562 - Kreider, Chris
10841 - Kreis, Matthew
12450 - Kreis, Mitchell
10540 - Kreis, Sämi
1398 - Krejci, David
8680 - Krejcik, Jakub
11361 - Kremyr, Jordan
12026 - Krenzelok, Daniel
2776 - Krenzelok, Lukas
1387 - Kreps, Kamil
11953 - Kretschmann, Christian
3651 - Kretschmann, James
3652 - Kreutzer, Daniel
1437 - Kristan, Robert
12618 - Kristensen, Emil
9329 - Kristiansen, Tommy
10615 - Kristo, Danny
12773 - Krliš, Václav
12027 - Kroeker, Colton
11730 - Kronthaler, Stephan
476 - Kronwall, Niklas
7487 - Krueger, Justin
9564 - Krug, Torey
497 - Kruger, Marcus
12028 - Krupic, Amil
6311 - Krupp, Björn
12492 - Krushen, Ryan
12029 - Kryski, Jake
9961 - Kubalik, Dominik
2845 - Kubalik, Tomas
2993 - Kubat, Karel
5928 - Kubica, Zdenek
2743 - Kubis, Pavel
11426 - Kubka, Branislav
2790 - Kubos, Petr
2870 - Kucharczyk, Radim
10071 - Kucherov, Nikita
5955 - Kucny, Jiri
11520 - Kucsera, Lukas
2111 - Kudelka, Tomas
6090 - Kudrna, Andrej
4863 - Kudrna, Jaroslav
6106 - Kuemper, Darcy
7208 - Kuhnhackl, Tom
9096 - Kujawinski, Ryan
1289 - Kukkonen, Lasse
2609 - Kukkonen, Mikko
4909 - Kukumberg, Roman
8957 - Kulak, Brett
5352 - Kulda, Arturs
9681 - Kulda, Edgars
4859 - Kulemin, Nikolay
374 - Kulikov, Dmitry
12679 - Kulmala, Arttu
9448 - Kulmala, Rasmus
3665 - Kumagai, Takashi
11287 - Kumeliauskas, Tadas
4626 - Kumstat, Petr
482 - Kunitz, Chris
11572 - Kunyk, Cody
10531 - Künzle, Mike
3670 - Kuparinen, Matti
1656 - Kurki, Mikael
9437 - Kuronen, Mikael
10220 - Kurth, Marcel
6699 - Kurtz, John
11725 - Kurz, Patrick
12789 - Kuták, Filip
1616 - Kuukka, Mikko
3674 - Kuusela, Kristian
8507 - Kuznetsov, Evgeny
12387 - Kvapil, Tomas
11432 - Kverka, Jaromir
2951 - Kveton, David
2720 - Kveton, Lukas
487 - Kwiatkowski, Joel
2067 - Kwiet, Rob
12030 - Kyrou, Jordan
4537 - Laakso, Aleksi
2663 - Laakso, Tapio
3677 - Laakso, Teemu
12623 - Laakso, Tuukka
3679 - Laatikainen, Arto
11193 - Labanc, Kevin
489 - LaBarbera, Jason
10115 - Labbé, Dylan
9726 - Labelle, Chad
12031 - Laberge, Pascal
12032 - Laberge, Samuel
2200 - Labrie, Pierre-Cedric
12033 - Lachance, Nicolas
484 - Lack, Eddie
12034 - Laday, Tamas
1158 - Ladd, Andrew
3682 - Laffi, Loriano
7918 - Lafontaine, Raphaël
11214 - Lafranchise, Kane
12035 - Lagacé, Alexandre
6795 - Lagace, Jacob
7962 - Lagace, Maxime
11215 - Laganiere, Antoine
2588 - Lähteenmäki, Sami
11716 - Lahtela, Mikko
3683 - Lahti, Janne
1678 - Lahti, Miika
12407 - Lahtinen, Timi
493 - Laich, Brooks
10593 - Lain, Kellan
11720 - Laine, Patrik
10844 - Laishram, Adam
12036 - Lajeunesse, Troy
12037 - Lajoie, Max
2620 - Lajunen, Jani
12733 - Lala, Josef
7871 - Lalancette, Christophe
1894 - Laliberte, John
10060 - Laliberté, Kevin
10990 - Lalonde, Bradley
8646 - Lalonde, Christophe
6314 - Lalonde, Shawn
6779 - Lamarche, Maxim
10396 - Lamberg, Matti
32050 - Lambert, Patrick
1726 - Lammassaari, Petri
8717 - Lammer, Dominic
11292 - Lammikko, Juho
10562 - Lampl, Cody
11644 - Lämsä, Teemu
150 - Lander, Anton
6422 - Landeskog, Gabriel
12038 - Landreville, Alexandre
6845 - Landry, Charles
7260 - Landry, Jon
6318 - Lane, Phil
9670 - Lang, Chase
11419 - Lang, Mickey
12039 - Langdon, Kyle
5362 - Langdon, Scott
7215 - Lange, Mathias
8893 - Lange, Sawyer
9727 - Langhamer, Marek
5804 - Langkow, Chris
10585 - Langlois, Jeremy
10397 - Lankinen, Kevin
10997 - Lanoue, Vincent
1245 - Lapierre, Maxim
9195 - Laplante, Yan-Pavel
11717 - Lappalainen, Lasse
4843 - Lardi, Federico
10626 - Larkin, Thomas
1155 - LaRose, Chad
11011 - Larouche, Keven
12636 - Larsen Mostue, Mats
2544 - Larsen, Philip
32076 - Larsen, Sean
11350 - Larson, Nick
599 - Larsson, Adam
1447 - Larsson, Daniel
551 - Larsson, Eddie
12595 - Larsson, Emil
12709 - Larsson, Jacob
7496 - Larsson, Johan
9420 - Larsson, Johan
12701 - Larsson, Oscar
2846 - Las, Marek
510 - Lasak, Jan
8379 - Lasch, Ryan
8977 - Laser, Jonathan
6405 - Lashoff, Brian
1336 - Lashoff, Matt
3701 - Lassila, Teemu
8608 - Lassinantti, Joel
511 - Lasu, Nicklas
12802 - Látal, Jan
5948 - Latal, Martin
9061 - Latour, Bradley
6369 - Latta, Michael
7837 - Latta, Nickolas
10041 - Latulippe, Nicolas
3702 - Latvala, Jan
3703 - Latypov, Sergey
7793 - Laughton, Scott
107 - Laumann Ylven, Martin
5495 - Lauper, Adrien
9717 - Laurencelle, Remi
10554 - Lauridsen, Markus
9418 - Lauridsen, Oliver
9807 - Laurikainen, Eetu
12040 - Lauzon, Félix
11002 - Lauzon, Jérémy
3705 - Lavallée, Kevin
6826 - Lavoie, Alex
12041 - Lavoie, Vincent
5612 - Lawson, Nathan
8815 - Lazar, Curtis
12042 - Lazarev, Leo
11130 - Lazarev, Maxim
10383 - Le Coultre, Vincent
5883 - Leach, Joey
10355 - LeBlanc, Drew
12043 - Leblanc, Jean-Michel
7956 - Leblanc, Louis
10799 - LeBlanc, Olivier
8784 - LeBlanc, Peter
10807 - Leblanc, Samuel
10831 - Leblanc, Stefan
8421 - Lebler, Brian
11021 - Leblond, Nicolas
513 - Lecavalier, Vincent
7991 - Leclerc, Alexandre
10983 - Leclerc, Mathieu
7501 - Leddy, Nick
3709 - Ledin, Per
7050 - Leduc, Jerome
7891 - Leduc, Loic
10349 - Lee, Anders
10641 - Lee, Mike
10770 - Lee, Payton
9687 - Leedahl, Dawson
10384 - Leeger, Larri
8841 - Lees, Jesse
6856 - Lefebvre, Philippe
10085 - Légaré, Charles-Éric
5641 - Legein, Stefan
12044 - Léger, Éric
4576 - Leggio, David
12045 - Legien, Jared
522 - Legwand, David
9454 - Lehkonen, Artturi
6696 - Lehner, Robin
1699 - Lehtera, Jori
1614 - Lehtivuori, Joonas
524 - Lehtonen, Kari
1736 - Lehtonen, Mikko
9429 - Lehtonen, Mikko
8886 - Leier, Taylor
1423 - Leighton, Michael
11751 - Leimbacher, Urban
4573 - Leimu, Juha
11232 - Leino, Robert
3718 - Leino, Ville
11226 - Leinonen, Toni
7600 - Leipsic, Brendan
7850 - Leivo, Josh
7451 - Leivo, Tomi
9223 - Lemay, Mathieu
10879 - Lemcke, Justin
11159 - Lemieux, Brendan
8322 - Lemieux, Mario
5723 - Lemm, Romano
11472 - Lenc, Radan
1188 - LeNeveu, David
10297 - Leone, Robin
11377 - Leonelli, Nicolas
3720 - Leonov, Alexander
527 - Leopold, Jordan
12521 - Lepine, Guillaume
11030 - Lépine, Jérémy
3721 - Lepisto, Sami
326 - Lerg, Bryan
9785 - Lernout, Brett
9808 - LeSann, Tanner
11713 - Leskinen, Ville
9013 - Leslie, Zac
7789 - Lessio, Lucas
1298 - Letang, Kris
2289 - Letestu, Mark
10697 - Leth, Cavin
2183 - Letourneau-Leblond, Pierre-Luc
7306 - Lev, Jakub
12693 - Levänen, Santeri
9988 - Léveillé, Loïk
8858 - Leverton, Craig
6621 - Levi, Austin
11233 - Levo, Mikke
3726 - Lewandowski, Eduard
3727 - Lewandowski, Grzegorz
8868 - Lewington, Tyler
8987 - Lewis, Jamie
2190 - Lewis, Trevor
12046 - Lewis, Ty
10536 - Lhotak, Lukas
12047 - Li, Nikita
10556 - Liambas, Michael
9876 - Liberati, Miles
11267 - Liedes, Heikki
5886 - Lieuwen, Nathan
5437 - Liivik, Siim
2188 - Likens, Jeff
532 - Liles, John-Michael
533 - Lilja, Andreas
9623 - Lilja, Jakob
585 - Liljewall, Christopher
9703 - Linaker, Cole
12518 - Lind, Kevin
5630 - Lindback, Anders
9932 - Lindberg, Brandon
610 - Lindberg, Oscar
12048 - Lindberg, Tobias
10584 - Lindblad, Matt
11691 - Lindblom, Oskar
10398 - Lindbohm, Petteri
5596 - Lindemann, Kim
5558 - Lindemann, Sven
8619 - Linder, Tom
1518 - Lindgren, Fredrik
12720 - Lindgren, Jesper
1623 - Lindgren, Perttu
10571 - Lindgren, Ryley
1488 - Lindgren, Viktor
11700 - Lindholm, Anton
10309 - Lindholm, Elias
9616 - Lindholm, Hampus
11641 - Lindholm, Pär
9913 - Lindo, Jaden
12666 - Lindstrom, Tobias
2802 - Linhart, Tomas
5550 - Liniger, Michael
12752 - Linsenmaier, Nikolas
11098 - Lintuniemi, Alex
10424 - Lipiäinen, Santeri
5827 - Lipon, J.C.
11063 - Lipon, Mitch
9792 - Lipsbergs, Roberts
9760 - Lishchynsky, Tanner
10786 - Lisoway, Quintin
9598 - Little, Broc
2098 - Little, Bryan
10557 - Little, Mike
6613 - Livingston, James
1448 - Liwing, Jonas
10558 - Lizon, Erick
10913 - Lizotte, Cameron
11611 - Ljungh, Markus
9874 - Llewellyn, Darby
9088 - Lodge, Jimmy
833 - Loeffel, Romain
12049 - Loewen, Jermaine
2602 - Löfman, Anssi
6381 - Lofquist, Sam
11742 - Loibl, Stefan
899 - Loichat, Michaël
9214 - Loiseau, Alexis
540 - Lombardi, Matthew
9263 - Longpre, Nathan
12436 - Lööke, Jens
10483 - Loov, Viktor
3751 - Lopatin, Yuri
10865 - Lorentz, Steven
5176 - Lorentzen, Peter
12678 - Lory, Reto
12050 - Loschiavo, Vince
8828 - Lotz, Austin
3760 - Louhivaara, Ossi
9573 - Louis, Mark
2288 - Lovejoy, Ben
10045 - Lovell, Brian
10642 - LoVerde, Vincent
12715 - Lövstedt, Victor
10747 - Low, Brayden
10458 - Löwdahl, Henrik
5788 - Lowe, Keegan
6205 - Lowry, Adam
11352 - Lowry, Matt
1575 - Lucenius, Niclas
12051 - Luchuk, Aaron
6341 - Luciani, Anthony
2099 - Lucic, Milan
3761 - Lüdemann, Mirko
12331 - Ludwig, C.J.
5375 - Ludwig, Trevor
12052 - Luff, Matt
12783 - Lukáš, Jan
2994 - Lukes, Frantisek
12053 - Lukezic, Brandon
12054 - Lukin, Vladislav
3762 - Lund, Torgeir
10682 - Lundberg, Arvid
3763 - Lundberg, Emil
8604 - Lundberg, Henrik
5204 - Lundberg, Martin
10321 - Lundgren, Niclas
7378 - Lundh, Patrik
1190 - Lundqvist, Henrik
3766 - Lundqvist, Joel
7402 - Lundstrom, Niklas
8163 - Luoma, Mikko
547 - Luongo, Roberto
549 - Lupul, Joffrey
10910 - Lussier, Jesse
5679 - Lüthi, Fabian
5757 - Lüthi, Simon
3771 - Luttinen, Arttu
4516 - Lynch, Kevin
12661 - Lyngset, Tallak
11263 - Lyytinen, Joonas
10425 - Maalahti, Kalle
9001 - Maaskant, Liam
9039 - Maatta, Olli
1370 - MacArthur, Clarke
10899 - MacArthur, Tyler
7074 - MacAulay, Stephen
11688 - MacCallum, Daryl
9068 - MacDermid, Kurtis
2118 - MacDonald, Andrew
9688 - MacDonald, Cole
12366 - MacDonald, David
1428 - MacDonald, Joey
8978 - MacDonald, Josh
10952 - MacDonald, Owen
6227 - Macek, Brooks
8422 - Macenauer, Maxime
5353 - Machacek, Spencer
7745 - Machovsky, Matej
11187 - MacInnis, Ryan
9884 - MacIntyre, Bobby
1787 - MacIntyre, Drew
12018 - MacIntyre, Duncan
2245 - MacIntyre, Steve
5974 - MacKay, Matt
9809 - MacKay, Zac
32273 - Mackenzie, Charles
556 - MacKenzie, Derek
10548 - MacKenzie, Drew
5206 - MacKenzie, Matt
9289 - MacKinnon, Kyle
9179 - MacKinnon, Nathan
9215 - MacKinnon, Ryan
9698 - Macklin, Aaron
7055 - MacLean, Brandon
9300 - MacLeod, Wade
12020 - MacMurchy, Ryan
12055 - Macsween, Colin
10639 - MacWilliam, Andrew
5836 - Madaisky, Austin
3778 - Madigozhin, Sergei
11334 - Madore, Rob
2161 - Madsen, Morten
11272 - Mäenalanen, Saku
3781 - Mäenpää, Mikko
7536 - Magee, Brandon
6717 - Maggio, Daniel
12056 - Magnes, Garan
9920 - Maguire, Josh
10646 - Magyar, Nick
12057 - Maher, Jordan
10117 - Maheux, Raphaël
12058 - Mahura, Josh
